;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
1;8.2;5.6;4.8;7.5;9.9;10.0;6.5
2;8.2;4.8;7.5;5.6;6.5;5.6;5.6
3;5.6;8.2;10.0;9.9;4.8;8.2;7.5
4;4.8;8.2;4.8;5.6;10.0;6.5;7.5
5;10.0;7.5;8.2;8.2;4.8;9.9;4.8
6;5.6;6.5;9.9;8.2;5.6;8.2;10.0
7;4.8;5.6;8.2;5.6;7.5;6.5;7.5
8;10.0;7.5;9.9;4.8;6.5;8.2;4.8
9;4.8;9.9;8.2;8.2;5.6;6.5;10.0
10;6.5;7.5;6.5;8.2;9.9;8.2;6.5
11;8.2;5.6;9.9;10.0;6.5;10.0;4.8
12;9.9;7.5;8.2;7.5;5.6;8.2;6.5
13;10.0;9.9;9.9;9.9;6.5;6.5;10.0
14;6.5;5.6;10.0;7.5;9.9;8.2;4.8
15;9.9;7.5;8.2;6.5;10.0;7.5;6.5
16;8.2;9.9;4.8;7.5;5.6;10.0;4.8
17;10.0;7.5;10.0;9.9;6.5;9.9;6.5
18;6.5;5.6;7.5;7.5;7.5;10.0;4.8
19;8.2;9.9;4.8;10.0;9.9;8.2;6.5
20;10.0;10.0;9.9;8.2;5.6;7.5;4.8
